URLs Downloaded, Size(KB), # of Outlinks Found, Content Type
https://www.latimes.com/espanol/california/articulo/2021-09-21/el-hispano-kevin-de-leon-lanza-su-candidatura-a-la-alcaldia-de-los-angeles, 235, 83, text/html
https://www.latimes.com/entertainment-arts/tv/story/2021-09-22/willie-garson-death-sex-and-the-city-stars-react, 325, 150, text/html
https://www.latimes.com/espanol/eeuu/articulo/2021-09-20/gobernadores-republicanos-piden-reunion-con-biden-sobre-la-crisis-migratoria, 235, 83, text/html
https://www.latimes.com/archives, 205, 110, text/html
https://www.latimes.com/california/story/2021-09-19/will-the-santa-monica-malibu-schools-divorce-go-forward-decision-may-be-imminent, 281, 125, text/html
https://www.latimes.com/la-hm-la-affairs-submission-guidelines-htmlstory.html, 250, 125, text/html
https://www.latimes.com/entertainment-arts/business, 300, 143, text/html
https://www.latimes.com/sports/angels/story/2021-09-21/shohei-ohtani-has-angels-manager-joe-maddons-vote-for-mvp, 265, 131, text/html
https://www.latimes.com/espanol/california/articulo/2021-09-22/patt-morrison-splitting-california, 279, 90, text/html
https://www.latimes.com/california/story/2021-09-20/la-mayor-race-homeless-encampments, 294, 128, text/html
https://www.latimes.com/espanol/entretenimiento/articulo/2021-09-22/un-coleccionista-de-coches-de-cars-entra-en-el-guinness-de-los-records, 240, 81, text/html
https://www.latimes.com/chasemortgage, 289, 132, text/html
https://www.latimes.com/lifestyle/image/story/2021-09-16/if-you-wear-paisaboys-you-might-be-in-on-l-a-streetwears-biggest-inside-joke, 316, 127, text/html
https://www.latimes.com/food/recipes, 298, 127, text/html
https://www.latimes.com/espanol/entretenimiento/articulo/2021-09-22/bad-bunny-va-por-el-record-de-ozuna-en-los-billboard-de-la-musica-latina, 231, 79, text/html
https://www.latimes.com/people/jorge-castillo, 243, 119, text/html
https://www.latimes.com/business/story/2021-09-21/after-a-wobbly-day-major-indexes-end-mixed-on-wall-street, 270, 127, text/html
https://www.latimes.com/espanol/california/articulo/2021-09-21/el-secretario-de-turismo-de-mexico-llega-a-california-tocando-puertas, 252, 83, text/html
https://www.latimes.com/brandpublishing/business-advisory, 249, 123, text/html
https://www.latimes.com/espanol/california/articulo/2021-09-22/monoclonal-antibody-covid-treatment-hard-to-get-california, 256, 90, text/html
https://www.latimes.com/travel, 347, 147, text/html
https://www.latimes.com/obituaries/story/2021-09-21/sex-and-the-city-actor-willie-garson-dies-at-57, 263, 127, text/html
https://www.latimes.com/topic/guides, 309, 145, text/html
https://www.latimes.com/espanol/comida/articulo/2021-09-18/restaurante-california-comida-plantas-creatividad-rico-sabor, 290, 91, text/html
https://www.latimes.com/espanol/california/articulo/2021-09-21/acusan-a-madre-e-hija-latinas-por-muerte-de-mujer-a-quien-inyectaron-silicona, 248, 83, text/html
https://www.latimes.com/california/story/2021-09-21/mental-health-in-latino-communities-we-want-to-hear-from-you, 260, 124, text/html
https://www.latimes.com/world-nation/story/2021-09-11/abimael-guzman-head-of-shining-path-insurgency-dies-perus-government-says, 277, 125, text/html
https://www.latimes.com/podcast/trials-of-frank-carson-podcast, 275, 124, text/html
https://www.latimes.com/science/story/2021-09-21/covid-vaccine-kids-under-12-timeline, 290, 142, text/html
https://www.latimes.com/business/story/2021-09-21/peter-lee-architect-of-californias-obamacare-success, 311, 141, text/html
https://www.latimes.com/espanol/entretenimiento/articulo/2021-09-14/el-descarado-vestido-de-ocasio-cortez-roba-el-protagonismo-de-la-met-gala, 237, 82, text/html
https://www.latimes.com/nation/ct-joan-rivers-medical-malpractice-lawsuit-settled-20160512-story.html, 920, 353, text/html
https://www.latimes.com/brandpublishing/mba-insider, 228, 119, text/html
https://www.latimes.com/lifestyle/story/2021-05-29/la-affairs-rosalva-mejia-we-were-each-hiding-a-secret, 300, 135, text/html
https://www.latimes.com/lifestyle, 393, 169, text/html
https://www.latimes.com/politics, 367, 159, text/html
https://www.latimes.com/lifestyle/story/2021-09-22/cheap-therapy-alternatives-apps-meditation-books-more, 303, 151, text/html
https://www.latimes.com/espanol/california/articulo/2021-09-21/como-estimular-la-digestion-sin-tener-que-tomar-laxantes-de-la-farmacia, 256, 86, text/html
https://www.latimes.com/espanol/etiqueta/salud, 281, 88, text/html
https://www.latimes.com/entertainment-arts/tv/story/2021-09-22/whats-on-tv-wednesday-september-22, 362, 144, text/html
https://www.latimes.com/entertainment-arts/movies/story/2021-09-20/anthony-aj-johnson-death-obituary, 266, 134, text/html
https://www.latimes.com/california/story/2021-09-22/judge-rules-paul-flores-and-father-to-stand-trial-in-1996-kristin-smart-killing, 274, 123, text/html
https://www.latimes.com/business/story/2021-09-22/us-housing-market-real-estate-august-exisiting-home-sales, 282, 125, text/html
https://www.latimes.com/world-nation/story/2021-09-22/fed-foresees-a-potential-rate-hike-as-soon-as-next-year, 281, 127, text/html
https://www.latimes.com/entertainment-arts/tv/story/2021-09-22/kathryn-hahn-to-play-late-comic-joan-rivers-in-biopic-series-the-comeback-girl?_amp=true, 213, 110, text/html
